Year,Make,Model,Trim,Shape,Transmission,Drive Type,img_url,Monthly Payment,Lease Term,Down Payment,Type,Zip Code,Offer Ends,Offer Link
2021,Honda,Pilot,EX-L,,Automatic,2WD,https://automobiles.honda.com/-/media/Honda-Automobiles/Vehicles/2021/Pilot/Non-VLPSet/offers-estimator/MY21-pilot-LX-CO-lease-finance-jelly.png,$309,36,"$3,299",Lease,98011,07/06/21,https://automobiles.honda.com/tools/current-offers?zipcode=98011
2021,Honda,Pilot,EX-L,,Automatic,AWD,https://automobiles.honda.com/-/media/Honda-Automobiles/Vehicles/2021/Pilot/Non-VLPSet/offers-estimator/MY21-pilot-LX-CO-lease-finance-jelly.png,$309,36,"$3,999",Lease,98011,07/06/21,https://automobiles.honda.com/tools/current-offers?zipcode=98011
2022,Honda,Odyssey,EX,,Automatic,,https://automobiles.honda.com/-/media/Honda-Automobiles/Vehicles/2022/Odyssey/Non-VLP/Offers/MY22-odyssey-profile-lx-platinum-white-pearl.jpg,$369,36,"$3,299",Lease,98011,07/06/21,https://automobiles.honda.com/tools/current-offers?zipcode=98011
2021,Honda,Odyssey,EX,,Automatic,,https://automobiles.honda.com/-/media/Honda-Automobiles/Vehicles/2022/Odyssey/Non-VLP/Offers/MY22-odyssey-profile-lx-platinum-white-pearl.jpg,$329,36,"$3,099",Lease,98011,07/06/21,https://automobiles.honda.com/tools/current-offers?zipcode=98011
2021,Honda,Passport,EX-L,,Automatic,2WD,https://automobiles.honda.com/-/media/Honda-Automobiles/Vehicles/2021/Passport/non-VLP/08-Related-vehicles/MY21-passport-Sport-CO-lease-finance-jelly.png,$309,36,"$2,999",Lease,98011,06/01/21,https://automobiles.honda.com/tools/current-offers?zipcode=98011
2021,Honda,Passport,EX-L,,Automatic,AWD,https://automobiles.honda.com/-/media/Honda-Automobiles/Vehicles/2021/Passport/non-VLP/08-Related-vehicles/MY21-passport-Sport-CO-lease-finance-jelly.png,$309,36,"$3,699",Lease,98011,06/01/21,https://automobiles.honda.com/tools/current-offers?zipcode=98011
2021,Honda,HR-V,SPORT,,Automatic,2WD,https://automobiles.honda.com/-/media/Honda-Automobiles/Vehicles/2021/HR-V/Non-VLP/Offers/MY21-hrv-LX-CO-lease-finance-jelly.png,$169,36,"$2,699",Lease,98011,06/01/21,https://automobiles.honda.com/tools/current-offers?zipcode=98011
2021,Honda,HR-V,SPORT,,Automatic,AWD,https://automobiles.honda.com/-/media/Honda-Automobiles/Vehicles/2021/HR-V/Non-VLP/Offers/MY21-hrv-LX-CO-lease-finance-jelly.png,$169,36,"$3,199",Lease,98011,06/01/21,https://automobiles.honda.com/tools/current-offers?zipcode=98011
2021,Honda,CR-V,EX,,Automatic,2WD,https://automobiles.honda.com/-/media/Honda-Automobiles/Vehicles/2021/CR-V/Non-VLP/Offers/MY21-CRV-LX-CO-lease-finance-jelly.png,$259,36,"$3,199",Lease,98011,07/06/21,https://automobiles.honda.com/tools/current-offers?zipcode=98011
2021,Honda,CR-V,EX,,Automatic,AWD,https://automobiles.honda.com/-/media/Honda-Automobiles/Vehicles/2021/CR-V/Non-VLP/Offers/MY21-CRV-LX-CO-lease-finance-jelly.png,$259,36,"$3,799",Lease,98011,07/06/21,https://automobiles.honda.com/tools/current-offers?zipcode=98011
2021,Honda,CR-V Hybrid,HYBRID EX,,Automatic,,https://automobiles.honda.com/-/media/Honda-Automobiles/Vehicles/2021/CR-V/Non-VLP/Offers/MY21-CRV-HybridEX-CO-lease-finance-jelly.png,$269,36,"$3,299",Lease,98011,07/06/21,https://automobiles.honda.com/tools/current-offers?zipcode=98011
2021,Honda,Civic,LX,Sedan,Automatic,2WD,https://automobiles.honda.com/-/media/Honda-Automobiles/Vehicles/2021/Civic-Sedan/non-VLP/Current-Offers/CVS20-101.png,$179,36,"$2,899",Lease,98011,07/06/21,https://automobiles.honda.com/tools/current-offers?zipcode=98011
2021,Honda,Accord,1.5T LX,Sedan,Automatic,2WD,https://automobiles.honda.com/-/media/Honda-Automobiles/Vehicles/2021/Accord-Sedan/NonVLP/Offers/MY21-accord-LX-CO-lease-finance-jelly.png,$229,36,"$2,999",Lease,98011,06/01/21,https://automobiles.honda.com/tools/current-offers?zipcode=98011
2021,Honda,Accord Hybrid,,Sedan,Automatic,2WD,https://automobiles.honda.com/-/media/Honda-Automobiles/Vehicles/2021/Accord-Sedan/NonVLP/Offers/MY21-Accord-Hybrid-CO-lease-finance-jelly.png,$219,36,"$3,299",Lease,98011,06/01/21,https://automobiles.honda.com/tools/current-offers?zipcode=98011
2021,Honda,Accord Hybrid,,Sedan,Automatic,2WD,https://automobiles.honda.com/-/media/Honda-Automobiles/Vehicles/2021/Accord-Sedan/NonVLP/Offers/MY21-Accord-Hybrid-CO-lease-finance-jelly.png,$249,36,"$3,299",Lease,98011,06/01/21,https://automobiles.honda.com/tools/current-offers?zipcode=98011
2021,Nissan,Sentra,SV,,Automatic,FWD,https://www.nissanusa.com/deals/img/gif.gif,$189,36,"$2,419",Lease,98011,06/01/2021,https://www.nissanusa.com/vehicles/cars/sentra/deals-incentives-offers.html
2021,Nissan,Altima,S,,Automatic,FWD,https://www.nissanusa.com/deals/img/gif.gif,$239,36,"$2,439",Lease,98011,06/01/2021,https://www.nissanusa.com/vehicles/cars/altima/deals-incentives-offers.html
2021,Nissan,Maxima,SV,,Automatic,FWD,https://www.nissanusa.com/deals/img/gif.gif,$339,36,"$3,759",Lease,98011,06/01/2021,https://www.nissanusa.com/vehicles/cars/maxima/deals-incentives-offers.html
2021,Nissan,Leaf,S,,Automatic,FWD,https://www.nissanusa.com/deals/img/gif.gif,$239,36,$239,Lease,98011,06/01/2021,https://www.nissanusa.com/vehicles/electric-cars/leaf/deals-incentives-offers.html
2020,Nissan,Leaf,S,,Automatic,FWD,https://www.nissanusa.com/deals/img/gif.gif,$199,36,$199,Lease,98011,06/01/2021,https://www.nissanusa.com/vehicles/electric-cars/leaf/deals-incentives-offers/2020.html
2021,Nissan,Kicks,SV,,Automatic,FWD,https://www.nissanusa.com/deals/img/gif.gif,$275,36,"$2,249",Lease,98011,06/01/2021,https://www.nissanusa.com/vehicles/crossovers-suvs/kicks/deals-incentives-offers.html
2020,Nissan,Kicks,SV,,Automatic,FWD,https://www.nissanusa.com/deals/img/gif.gif,$259,36,"$2,249",Lease,98011,06/01/2021,https://www.nissanusa.com/vehicles/crossovers-suvs/kicks/deals-incentives-offers/2020.html
2021,Nissan,Rogue-sport,S,,Automatic,FWD,https://www.nissanusa.com/deals/img/gif.gif,$219,36,"$4,249",Lease,98011,06/01/2021,https://www.nissanusa.com/vehicles/crossovers-suvs/rogue-sport/deals-incentives-offers.html
2021,Nissan,Rogue,S,,Automatic,FWD,https://www.nissanusa.com/deals/img/gif.gif,$219,36,"$4,229",Lease,98011,06/01/2021,https://www.nissanusa.com/vehicles/crossovers-suvs/rogue/deals-incentives-offers.html
2021,Nissan,Murano,S,,Automatic,FWD,https://www.nissanusa.com/deals/img/gif.gif,$289,36,"$4,069",Lease,98011,06/01/2021,https://www.nissanusa.com/vehicles/crossovers-suvs/murano/deals-incentives-offers.html
2021,Nissan,Armada,SV,,Automatic,4x2,https://www.nissanusa.com/deals/img/gif.gif,$692,36,$692,Lease,98011,06/01/2021,https://www.nissanusa.com/vehicles/crossovers-suvs/armada/deals-incentives-offers.html
2020,Nissan,Armada,SV,,Automatic,4x2,https://www.nissanusa.com/deals/img/gif.gif,$686,36,$686,Lease,98011,06/01/2021,https://www.nissanusa.com/vehicles/crossovers-suvs/armada/deals-incentives-offers/2020.html
2021,Nissan,Frontier,SV,,Automatic,4x4,https://www.nissanusa.com/deals/img/gif.gif,$279,36,"$3,029",Lease,98011,06/01/2021,https://www.nissanusa.com/vehicles/trucks/frontier/deals-incentives-offers.html
2021,Nissan,Titan,S,,Automatic,4x4,https://www.nissanusa.com/deals/img/gif.gif,$399,36,"$3,999",Lease,98011,06/01/2021,https://www.nissanusa.com/vehicles/trucks/titan/deals-incentives-offers/titan.html
2022,Acura,MDX,,,Automatic,FWD,https://www.acura.com/-/media/Acura-Platform/Non-Vehicle-Pages/shopping-tools/offers/Current-Offers/2022/Current_Offers_3-4view_for_Lease_Finance_offers_tab.jpg,$439,36,"$4,499",Lease,98011,07/06/21,https://www.acura.com/tools/current-luxury-car-suv-offers-leasing?zipcode=98011
2022,Acura,MDX,,,Automatic,AWD,https://www.acura.com/-/media/Acura-Platform/Non-Vehicle-Pages/shopping-tools/offers/Current-Offers/2022/Current_Offers_3-4view_for_Lease_Finance_offers_tab.jpg,$459,36,"$4,499",Lease,98011,07/06/21,https://www.acura.com/tools/current-luxury-car-suv-offers-leasing?zipcode=98011
2020,Acura,MDX,,,Automatic,FWD,https://www.acura.com/-/media/Acura-Platform/Non-Vehicle-Pages/shopping-tools/offers/Current-Offers/2022/Current_Offers_3-4view_for_Lease_Finance_offers_tab.jpg,$409,36,"$2,499",Lease,98011,07/06/21,https://www.acura.com/tools/current-luxury-car-suv-offers-leasing?zipcode=98011
2020,Acura,MDX,,,Automatic,AWD,https://www.acura.com/-/media/Acura-Platform/Non-Vehicle-Pages/shopping-tools/offers/Current-Offers/2022/Current_Offers_3-4view_for_Lease_Finance_offers_tab.jpg,$409,36,"$2,999",Lease,98011,07/06/21,https://www.acura.com/tools/current-luxury-car-suv-offers-leasing?zipcode=98011
